집단,질환,최적알고리즘,HO_AUC,HO_F1,HO_Precision,HO_Recall,CV_AUC,CV_F1,CV_Precision,CV_Recall,LR_HO_AUC,LR_CV_AUC,AUC_vs_Baseline
청년_남성,당뇨,XGB,0.765,0.9483,0.9537,0.9432,0.8192 ± 0.0587,0.9452 ± 0.0078,0.9605 ± 0.0083,0.9332 ± 0.0113,0.6645,0.7560 ± 0.0433,0.1005
청년_남성,고혈압,RF,0.8246,0.8529,0.9162,0.8123,0.7710 ± 0.0715,0.8345 ± 0.0050,0.9158 ± 0.0088,0.7840 ± 0.0076,0.6904,0.6628 ± 0.0534,0.1342
청년_여성,당뇨,RF,0.8898,0.9573,0.9812,0.9384,0.8925 ± 0.0190,0.9450 ± 0.0064,0.9829 ± 0.0027,0.9157 ± 0.0115,0.6106,0.7708 ± 0.0354,0.2792
청년_여성,고혈압,RF,0.8359,0.9812,0.975,0.9874,0.7441 ± 0.0811,0.9813 ± 0.0014,0.9752 ± 0.0018,0.9875 ± 0.0009,0.6411,0.6621 ± 0.0809,0.1948
중장년_남성,당뇨,LGBM,0.7818,0.7558,0.7891,0.7435,0.7397 ± 0.0491,0.7341 ± 0.0267,0.7529 ± 0.0285,0.7243 ± 0.0270,0.7527,0.7317 ± 0.0523,0.0291
중장년_남성,고혈압,XGB,0.7761,0.7271,0.7248,0.733,0.7509 ± 0.0193,0.7102 ± 0.0201,0.7103 ± 0.0222,0.7117 ± 0.0189,0.6974,0.7039 ± 0.0291,0.0787
중장년_여성,당뇨,LGBM,0.8334,0.8568,0.8854,0.8388,0.8277 ± 0.0218,0.8459 ± 0.0090,0.8809 ± 0.0044,0.8243 ± 0.0123,0.8271,0.7976 ± 0.0258,0.0063
중장년_여성,고혈압,LGBM,0.7436,0.7741,0.8263,0.7449,0.7372 ± 0.0280,0.7643 ± 0.0195,0.8214 ± 0.0150,0.7329 ± 0.0237,0.6644,0.7157 ± 0.0228,0.0792
고령_남성,당뇨,RF,0.6382,0.6104,0.6132,0.6093,0.6426 ± 0.0280,0.6229 ± 0.0287,0.6257 ± 0.0267,0.6234 ± 0.0289,0.5935,0.6093 ± 0.0324,0.0447
고령_남성,고혈압,LGBM,0.6863,0.6561,0.6561,0.6561,0.6929 ± 0.0267,0.6700 ± 0.0157,0.6712 ± 0.0160,0.6692 ± 0.0158,0.62,0.6553 ± 0.0275,0.0663
고령_여성,당뇨,XGB,0.7542,0.6831,0.6894,0.6816,0.6942 ± 0.0227,0.6425 ± 0.0183,0.6490 ± 0.0193,0.6413 ± 0.0185,0.7306,0.6844 ± 0.0221,0.0236
고령_여성,고혈압,RF,0.7794,0.7336,0.7378,0.7313,0.7307 ± 0.0142,0.6958 ± 0.0139,0.6991 ± 0.0140,0.6941 ± 0.0139,0.7266,0.6969 ± 0.0090,0.0528
