집단,등급,건수,구성비(%),당뇨유병률(%),고혈압유병률(%),평균당뇨예측확률,평균고혈압예측확률,정책적함의
청년_남성,1등급(저위험),1028,76.3,0.4,2.5,0.07370000332593918,0.2678,예방적 건강관리 서비스 연계 권고
청년_남성,2등급(중위험),243,18.0,2.1,14.0,0.1736000031232834,0.5879,주기적 모니터링 + 생활습관 개입
청년_남성,3등급(고위험),76,5.6,36.8,32.9,0.7208999991416931,0.6386,의료기관 연계 및 집중 관리
청년_여성,1등급(저위험),1989,75.1,0.1,0.6,0.0921,0.0218,예방적 건강관리 서비스 연계 권고
청년_여성,2등급(중위험),457,17.3,1.3,0.9,0.2711,0.0348,주기적 모니터링 + 생활습관 개입
청년_여성,3등급(고위험),201,7.6,13.9,8.0,0.6292,0.0996,의료기관 연계 및 집중 관리
중장년_남성,1등급(저위험),569,44.7,4.4,4.6,0.2195,0.07779999822378159,예방적 건강관리 서비스 연계 권고
중장년_남성,2등급(중위험),318,25.0,40.9,12.6,0.5797,0.2199999988079071,주기적 모니터링 + 생활습관 개입
중장년_남성,3등급(고위험),386,30.3,47.2,91.2,0.5727,0.8738999962806702,의료기관 연계 및 집중 관리
중장년_여성,1등급(저위험),1459,55.6,0.4,5.7,0.0938,0.3407,예방적 건강관리 서비스 연계 권고
중장년_여성,2등급(중위험),705,26.9,5.4,20.4,0.3417,0.5031,주기적 모니터링 + 생활습관 개입
중장년_여성,3등급(고위험),460,17.5,50.9,34.1,0.7391,0.6056,의료기관 연계 및 집중 관리
고령_남성,1등급(저위험),527,33.6,41.8,16.3,0.4333,0.2399,예방적 건강관리 서비스 연계 권고
고령_남성,2등급(중위험),469,29.9,48.4,83.6,0.4607,0.6537,주기적 모니터링 + 생활습관 개입
고령_남성,3등급(고위험),573,36.5,73.5,94.9,0.6333,0.8582,의료기관 연계 및 집중 관리
고령_여성,1등급(저위험),672,33.5,16.4,33.3,0.2896000146865845,0.35,예방적 건강관리 서비스 연계 권고
고령_여성,2등급(중위험),771,38.4,42.9,70.0,0.49950000643730164,0.5784,주기적 모니터링 + 생활습관 개입
고령_여성,3등급(고위험),564,28.1,75.2,87.6,0.6851000189781189,0.7081,의료기관 연계 및 집중 관리
